Game;ReleaseDate;Genre;TotalEarnings;OfflineEarnings
Zwift;2015;Sports;65370.76;0
Zula;2015;First-Person Shooter;162500;160000
Zombieland VR: Headshot Fever;2021;First-Person Shooter;10000;0
Yu-Gi-Oh! Duel Links;2016;Collectible Card Game;48746.72;0
Xonotic;2010;First-Person Shooter;14935.01;26.07
X8;2023;First-Person Shooter;0;0
WWE 2K20;2019;Fighting Game;50000;0
WRC 10 FIA World Rally Championship;2021;Racing;25250;25250
World of WarCraft;2004;Role-Playing Game;8070537.61;5081388.91
World of Tanks Blitz;2016;Strategy;63330;60000
World of Tanks;2010;Strategy;3988496.59;3915031.72
World in Conflict;2007;Strategy;293338.23;293338.23
Wolfenstein: Enemy Territory;2003;First-Person Shooter;140963.24;138376.87
Wise Star 2;2008;Puzzle Game;12000;12000
Windjammers 2;2022;Fighting Game;1056.07;1056.07
Windjammers;1994;Strategy;5651.47;5162.16
Warsow;2012;First-Person Shooter;183;0
Warparty;2019;Strategy;1175;0
Warhammer 40,000: Dawn of War II;2009;Strategy;0;0
Warhammer 40,000: Dawn of War;2005;Strategy;79816.5;79816.5
Warface;2013;First-Person Shooter;109555;109555
WarCraft III: Reforged;2020;Strategy;1779057.53;489666.84
WarCraft III;2002;Strategy;6273482.33;5338733.42
Walkabout Mini Golf;2021;Sports;2000;0
Void Racer;2020;Racing;460;0
Virtua Fighter 5: Ultimate Showdown;2021;Fighting Game;1870;870
Virtua Fighter 5 Final Showdown;2010;Fighting Game;573.77;573.77
Virtua Fighter 5;2007;Fighting Game;39830;39830
Virtua Fighter 4: Evolution;2002;Fighting Game;0;0
Vampire Savior;1997;Fighting Game;16642.38;15495.17
VALORANT;2020;First-Person Shooter;23848666.21;12612230.78
Vainglory;2014;Multiplayer Online Battle Arena;937421.19;836825.87
VAIL VR;2022;First-Person Shooter;36000;35000
Unreal Tournament 3;2007;First-Person Shooter;104977.82;104977.82
Unreal Tournament 2004;2004;First-Person Shooter;152421.78;151871.78
Unreal Tournament 2003;2002;First-Person Shooter;147473.91;147473.91
Unreal Tournament (2016);2016;First-Person Shooter;5084.97;0
Unreal Tournament;1999;First-Person Shooter;89000;89000
UNO;2016;Strategy;30000;0
Under Night In-Birth Exe:Late[cl-r];2020;Fighting Game;6337.01;5707.25
Under Night In-Birth EXE: Late[st];2015;Fighting Game;54583.33;54583.33
Under Night In-Birth EXE: Late;2014;Fighting Game;6025.76;6025.76
Uncharted 4: A Thief's End;2016;First-Person Shooter;46235.07;46235.07
Umineko: Golden Fantasia;2010;Fighting Game;190;90
Ultra Street Fighter IV;2014;Fighting Game;818394.62;818354.62
Ultra Fight Da! Kyanta 2;2019;Fighting Game;320;320
Ultimate Mortal Kombat 3;1995;Fighting Game;150;150
Ultimate Marvel vs. Capcom 3;2011;Fighting Game;174179.59;172052.24
Twinkle Star Sprites;1996;Puzzle Game;150;0
Turbo Racing League;2013;Racing;1000000;500000
Trials Fusion;2014;Racing;0;0
Trackmania United Forever;2008;Racing;2540.18;0
Trackmania United;2006;Racing;1027.5;1027.5
Trackmania Turbo;2016;Racing;679.41;0
TrackMania Nations Forever;2008;Racing;197070.19;169688.91
TrackMania Nations;2006;Racing;112883.55;68474.97
Trackmania 2: Valley;2013;Racing;779.34;779.34
TrackMania 2: Stadium;2013;Racing;200563.87;109371.91
TrackMania 2: Canyon;2011;Racing;23514.91;17975.21
Trackmania (2020);2020;Racing;571463.36;145868.67
TowerFall: Ascension;2013;Fighting Game;0;0
Tower Tag;2020;First-Person Shooter;5170.41;0
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe;2009;Fighting Game;4501.52;220
Tough Love Arena;2021;Fighting Game;100;0
Total Annihilation;1997;Strategy;15000;15000
Toribash;2006;Fighting Game;100;0
Them's Fightin' Herds;2018;Fighting Game;4578.19;530
The Unspoken;2018;Fighting Game;38824.08;38824.08
The Last Blade 2;1998;Fighting Game;60;0
The Elder Scrolls: Legends;2017;Collectible Card Game;5000;5000
The Division 2;2019;Third-Person Shooter;27250;0
The Binding of Isaac;2011;Strategy;15000;0
Tetris Ultimate;2014;Puzzle Game;221;221
Tetris Effect: Connected;2020;Puzzle Game;1934.91;1552.88
Tetris;1989;Puzzle Game;65827.99;39645.17
Tetr.io;2020;Puzzle Game;5287.88;2034.4
TEPPEN;2019;Strategy;626226.6;456721.47
Temtem;2022;Strategy;24500;0
Tekken Tag Tournament 2;2011;Fighting Game;118501.3;118501.3
Tekken Tag Tournament;1999;Fighting Game;0;0
Tekken 7;2015;Fighting Game;3671101.73;3408250.62
Tekken 6;2007;Fighting Game;119874.64;119874.64
Tekken 5: Dark Resurrection;2006;Fighting Game;12180;12180
Tekken 5;2004;Fighting Game;10250;10250
Tekken 4;2001;Fighting Game;12500;12500
Teeworlds;2007;Multiplayer Online Battle Arena;0;0
Teenage Mutant Ninja Turtles: Tournament Fighters;1993;Fighting Game;820;820
Teamfight Tactics;2019;Strategy;4428864.86;1046585.26
Team Fortress 2;2007;First-Person Shooter;769120.02;438928.41
Tatsunoko vs. Capcom: Ultimate All-Stars;2010;Fighting Game;2771.76;1330.81
Synth Riders;2018;Sports;2100;600
Supreme Commander: Forged Alliance;2007;Strategy;1290.01;1290.01
Supreme Commander;2007;Strategy;4901.26;4901.26
SuperPlayer;2022;Sports;1000;0
Super Street Fighter IV Arcade Edition;2010;Fighting Game;355586.67;355586.67
Super Street Fighter IV;2010;Fighting Game;30229.3;20877.3
Super Street Fighter II Turbo HD Remix;2008;Fighting Game;16360;16360
Super Street Fighter II Turbo;1994;Fighting Game;25646.29;25646.29
Super Smash Bros. Ultimate;2018;Fighting Game;2618239.67;2234204.79
Super Smash Bros. Melee;2001;Fighting Game;4061572.65;3897001.87
Super Smash Bros. for Wii U;2014;Fighting Game;1515451.47;1512816.47
Super Smash Bros. Brawl;2008;Fighting Game;248100.83;248100.83
Super Smash Bros.;1999;Fighting Game;76319.05;76179.05
Super People;2022;Battle Royale;144526;0
Super Mario Party;2018;Strategy;220;220
Summoners War: Sky Arena;2014;Strategy;652000;372000
